id,price,brand,model,year,mileage,country
1,2899,ford,se,2011,190552, usa
2,5350,dodge,mpv,2018,39590, usa
3,25000,ford,door,2014,64146, usa
4,27700,chevrolet,1500,2018,6654, usa
5,5700,dodge,mpv,2018,45561, usa
6,7300,chevrolet,pk,2010,149050, usa
7,13350,gmc,door,2017,23525, usa
8,14600,chevrolet,malibu,2018,9371, usa
9,5250,ford,mpv,2017,63418, usa
10,10400,dodge,coupe,2009,107856, usa
11,12920,gmc,mpv,2017,39650, usa
12,31900,chevrolet,1500,2018,22909, usa
13,5430,chrysler,wagon,2017,138650, usa
14,20700,ford,door,2013,100757, usa
15,12710,gmc,door,2017,25747, usa
16,5200,kia,forte,2018,46194, usa
17,16500,buick,encore,2018,20002, usa
18,5210,ford,mpv,2017,35714, usa
19,38100,ford,door,2013,54380, usa
20,12520,gmc,door,2017,30114, usa
21,7300,kia,forte,2018,38823, usa
22,15000,chevrolet,door,2015,61578, usa
23,6180,ford,mpv,2017,46010, usa
24,20800,ford,door,2013,105510, usa
25,11900,gmc,door,2017,28040, usa
26,21500,kia,sorento,2020,11451, usa
27,12000,buick,door,2014,31039, usa
28,4190,ford,doors,2017,44174, usa
29,13000,ford,chassis,2008,93698, usa
30,12710,gmc,door,2017,26364, usa
31,18500,infiniti,q70,2016,71967, usa
32,29800,chevrolet,camaro,1973,46226, usa
33,5330,ford,mpv,2017,37792, usa
34,13000,ford,convertible,2003,58817, usa
35,11900,gmc,door,2017,27965, usa
36,16600,mercedes-benz,vans,2016,110907, usa
37,19200,chevrolet,1500,2018,2430, usa
38,7320,ford,mpv,2017,32366, usa
39,7000,ford,pk,2003,176567, usa
40,12710,gmc,door,2017,30049, usa
41,16600,mercedes-benz,vans,2016,97983, usa
42,30500,chevrolet,1500,2018,30442, usa
43,6330,ford,mpv,2017,38123, usa
44,55000,ford,srw,2017,15273, usa
45,12520,gmc,door,2017,28972, usa
46,16200,jeep,compass,2019,30061, usa
47,19000,chevrolet,malibu,2017,18414, usa
48,5580,dodge,mpv,2017,46829, usa
49,54000,ford,srw,2017,26241, usa
50,12710,gmc,mpv,2017,39886, usa
51,16000,jeep,compass,2019,31594, usa
52,27000,buick,enclave,2017,32107, usa
53,7760,ford,mpv,2017,44794, usa
54,19600,chrysler,300,2019,42648, usa
55,12920,gmc,mpv,2017,39165, usa
56,20000,jeep,cherokee,2019,38355, usa
57,18100,buick,door,2017,46766, usa
58,23000,chrysler,pacifica,2020,2473, usa
59,18500,chrysler,300,2019,38586, usa
60,13490,gmc,door,2017,27842, usa
61,20700,jeep,cherokee,2019,31156, usa
62,17800,chevrolet,door,2017,52435, usa
63,6650,ford,door,2017,29942, usa
64,29100,chrysler,pacifica,2019,25281, usa
65,12710,gmc,door,2017,32504, usa
66,21100,jeep,cherokee,2019,28649, usa
67,18600,chevrolet,door,2017,35200, usa
68,4340,ford,door,2017,25602, usa
69,19300,chrysler,300,2019,34801, usa
70,12780,gmc,door,2017,31009, usa
71,15800,jeep,compass,2019,35595, usa
72,29400,bmw,x3,2017,23765, usa
73,4430,ford,door,2017,31792, usa
74,19400,chrysler,300,2019,33135, usa
75,12520,gmc,door,2017,30636, usa
76,15900,jeep,compass,2019,34502, usa
77,26400,buick,door,2017,25434, usa
78,4140,ford,door,2017,36732, usa
79,18300,chrysler,300,2019,41792, usa
80,12520,gmc,door,2017,31992, usa
81,17900,jeep,compass,2019,32501, usa
82,18300,chevrolet,camaro,2017,28395, usa
83,4640,ford,door,2017,36139, usa
84,24000,ford,door,2016,84413, usa
85,13200,gmc,door,2017,33457, usa
86,18000,jeep,compass,2019,29245, usa
87,14900,chevrolet,equinox,2017,12783, usa
88,4140,ford,door,2017,17617, usa
89,11500,ford,door,2016,36855, usa
90,9110,ford,door,2017,110316, usa
91,7350,chrysler,door,2015,88227, usa
92,24500,bmw,door,2017,17626, usa
93,9300,ford,door,2017,120353, usa
94,39800,dodge,challenger,2015,3641, usa
95,53500,bmw,m,2017,29355, usa
96,15110,ford,door,2017,39333, usa
97,34000,ford,door,2015,42930, usa
98,26502,chevrolet,colorado,2017,24993, usa
99,5990,ford,mpv,2017,44929, usa
100,13600,ford,focus,2018,16971, usa
101,23605,cadillac,door,2017,35598, usa
102,10780,ford,mpv,2017,40455, usa
103,13800,ford,focus,2018,23164, usa
104,25201,cadillac,door,2017,19011, usa
105,7070,ford,mpv,2017,45191, usa
106,8700,ford,focus,2018,21405, usa
107,18003,chevrolet,malibu,2017,19117, usa
108,8530,ford,door,2017,42104, usa
109,23100,dodge,durango,2018,49496, usa
110,24500,cadillac,door,2017,32418, usa
111,7000,ford,mpv,2017,29882, usa
112,17000,ford,escape,2018,34819, usa
113,34002,chevrolet,1500,2017,31923, usa
114,6980,ford,mpv,2017,29168, usa
115,25000,dodge,charger,2018,28307, usa
116,20802,chevrolet,colorado,2017,33791, usa
117,9200,ford,door,2017,21770, usa
118,26500,chrysler,pacifica,2017,18375, usa
119,24802,chevrolet,colorado,2017,14158, usa
120,7070,ford,mpv,2017,30318, usa
121,28500,ford,door,2017,48086, usa
122,47500,cadillac,door,2017,26562, usa
123,23500,ford,explorer,2017,57611, usa
124,23505,chevrolet,colorado,2017,47357, usa
125,10940,ford,door,2017,84916, usa
126,32100,ford,f-150,2017,24521, usa
127,53000,chevrolet,3500,2018,16105, usa
128,6830,ford,mpv,2017,35888, usa
129,11900,dodge,caravan,2017,59537, usa
130,26414,chevrolet,1500,2017,55222, usa
131,4160,dodge,mpv,2018,32870, usa
132,19405,chevrolet,door,2017,39687, usa
133,5690,dodge,mpv,2018,47085, usa
134,25900,chrysler,van,2017,32224, usa
135,24005,chevrolet,1500,2017,51293, usa
136,5090,dodge,mpv,2018,42989, usa
137,19500,chrysler,300,2017,31311, usa
138,32012,chevrolet,1500,2017,46091, usa
139,6800,dodge,dart,2016,49033, usa
140,4260,dodge,mpv,2018,33957, usa
141,0,dodge,van,2008,177948, usa
142,31802,chevrolet,2500,2017,19845, usa
143,7210,dodge,doors,2018,38910, usa
144,0,dodge,door,2014,123660, usa
145,28402,chevrolet,1500,2017,31234, usa
146,6800,dodge,doors,2018,36767, usa
147,33300,cadillac,esv,2015,57932, usa
148,10780,dodge,mpv,2018,19420, usa
149,6700,ford,cutaway,2014,204155, usa
150,20000,chevrolet,1500,2016,93493, usa
